Date,Open,High,Low,Close,Volume,pct_change,Lag1,Lag2,Lag3,MA_9,MA_21,MA_50,MA_150,MA_200,RSI_14,Target
2005-04-14,96.0,97.25,92.0,97.0,3015800.0,0.01,96.0,95.7,100.7,104.09,126.1,120.54,85.76,80.73,33.74707439483948,104.0
2005-04-15,97.0,104.25,97.1,104.0,4551900.0,0.07,97.0,96.0,95.7,102.99,122.19,120.91,86.03,80.93,40.14015101510261,97.55
2005-04-18,102.5,104.5,97.5,97.55,25520700.0,-0.06,104.0,97.0,96.0,101.49,118.42,121.17,86.26,81.1,36.632489774841915,92.7
2005-04-19,97.55,101.0,92.7,92.7,13418200.0,-0.05,97.55,104.0,97.0,100.04,114.84,121.27,86.45,81.23,34.211580640944675,93.25
2005-04-20,92.7,94.4,88.1,93.25,17340600.0,0.01,92.7,97.55,104.0,98.1,111.69,121.38,86.65,81.37,34.73829613563887,95.15
2005-04-21,93.25,98.5,94.45,95.15,35044100.0,0.02,93.25,92.7,97.55,96.89,109.0,121.53,86.87,81.51,36.625913439409445,92.7
2005-04-25,95.15,98.9,92.6,92.7,32845900.0,-0.03,95.15,93.25,92.7,96.01,106.55,121.62,87.08,81.64,35.211622542275094,97.3
2005-04-26,92.7,97.3,90.7,97.3,38203600.0,0.05,92.7,95.15,93.25,96.18,104.67,121.79,87.33,81.79,39.90379293453484,100.0
2005-04-27,97.3,101.8,96.5,100.0,75055800.0,0.03,97.3,92.7,95.15,96.63,103.24,121.99,87.6,81.95,42.53451150041918,96.75
2005-04-28,100.0,100.9,96.75,96.75,38297300.0,-0.03,100.0,97.3,92.7,96.6,101.96,122.13,87.84,82.1,40.250477103853136,95.6
2005-04-29,96.75,98.25,94.05,95.6,17887600.0,-0.01,96.75,100.0,97.3,95.67,100.92,122.2,88.08,82.24,39.44336417778332,90.85
2005-05-02,95.6,96.75,90.85,90.85,14596700.0,-0.05,95.6,96.75,100.0,94.92,99.94,122.14,88.29,82.36,36.21329539882811,91.1
2005-05-03,90.85,92.15,87.65,91.1,26085800.0,0.0,90.85,95.6,96.75,94.74,99.23,122.0,88.51,82.48,36.508000671482606,91.35
2005-05-04,91.1,92.95,90.1,91.35,26585700.0,0.0,91.1,90.85,95.6,94.53,98.15,121.83,88.72,82.6,36.82234521341947,94.9
2005-05-05,91.35,95.5,90.8,94.9,43162500.0,0.04,91.35,91.1,90.85,94.51,97.39,121.73,88.96,82.74,41.26894222235374,97.6
2005-05-06,94.9,97.9,94.6,97.6,75264000.0,0.03,94.9,91.35,91.1,95.05,97.0,121.53,89.2,82.9,44.47012910957185,101.25
2005-05-09,97.6,102.1,95.75,101.25,85264300.0,0.04,97.6,94.9,91.35,95.49,96.55,121.25,89.47,83.08,48.55257670390627,100.1
2005-05-10,101.25,102.85,98.55,100.1,126371300.0,-0.01,101.25,97.6,94.9,95.5,96.26,120.88,89.71,83.24,47.370909088929835,102.3
2005-05-11,100.1,103.2,99.6,102.3,100920100.0,0.02,100.1,101.25,97.6,96.12,96.34,120.57,89.98,83.42,49.883783868947404,97.95
2005-05-12,102.3,104.6,97.65,97.95,125761400.0,-0.04,102.3,100.1,101.25,96.38,96.45,120.08,90.2,83.58,45.28011806239532,101.3
2005-05-13,97.95,102.1,98.8,101.3,64212000.0,0.03,97.95,102.3,100.1,97.54,96.7,119.73,90.44,83.75,49.17056849461472,99.45
2005-05-16,101.3,102.35,97.85,99.45,35135900.0,-0.02,101.3,97.95,102.3,98.47,96.82,119.17,90.68,83.92,47.17583035071189,101.45
2005-05-17,99.45,101.95,99.65,101.45,49697400.0,0.02,99.45,101.3,97.95,99.59,96.7,118.45,90.92,84.1,49.55822640996042,101.55
2005-05-18,101.45,103.35,99.8,101.55,74031900.0,0.0,101.45,99.45,101.3,100.33,96.89,117.71,91.16,84.28,49.68042689191953,103.5
2005-05-19,101.55,104.1,100.7,103.5,61024600.0,0.02,101.55,101.45,99.45,100.98,97.4,116.82,91.41,84.47,52.116486307139965,101.75
2005-05-20,103.5,104.25,100.9,101.75,51718400.0,-0.02,103.5,101.55,101.45,101.04,97.8,115.66,91.65,84.67,49.78702641430163,96.7
2005-05-23,101.75,99.4,96.7,96.7,12161500.0,-0.05,101.75,103.5,101.55,100.66,97.88,114.33,91.85,84.84,43.71481643261078,95.9
2005-05-24,96.7,96.65,91.9,95.9,37742800.0,-0.01,96.7,101.75,103.5,99.95,98.03,112.97,92.05,85.0,42.823773120644866,94.25
2005-05-25,95.9,97.4,93.0,94.25,46048700.0,-0.02,95.9,96.7,101.75,99.54,97.89,111.32,92.23,85.15,40.968945386827045,89.55
2005-05-26,94.25,94.8,89.55,89.55,23976900.0,-0.05,94.25,95.9,96.7,98.23,97.39,109.32,92.38,85.28,36.163948695122244,85.1
